City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,tonj,7.2737,28.6822,76.28,71,78,3.6,SS,1624756250
232,akyab,20.15,92.9,81.25,85,99,8.28,MM,1624756250
233,khao yoi,13.2403,99.8243,86.9,64,46,1.99,TH,1624756250
234,manadhoo,5.7667,73.3833,81.55,74,76,12.64,MV,1624755926
235,saldanha,-33.0117,17.9442,54.01,82,14,9.71,ZA,1624756251
236,grand gaube,-20.0064,57.6608,71.38,83,2,1.99,MU,1624755930
237,numata,36.6333,139.05,77.38,76,100,3.71,JP,1624756252
238,arraial do cabo,-22.9661,-42.0278,71.38,78,100,22.68,BR,1624756010
239,beaufort,5.3473,115.7455,83.71,72,69,2.01,MY,1624756252
240,kinablangan,7.6947,126.5503,83.93,65,100,1.77,PH,1624756253
241,port hardy,50.6996,-127.4199,74.16,65,17,10.71,CA,1624756253
242,gravdal,68.1214,13.5031,49.73,91,100,31.74,NO,1624756253
243,okhotsk,59.3833,143.3,62.8,68,16,8.14,RU,1624756254
244,acapulco,16.8634,-99.8901,76.82,88,90,4.61,MX,1624756021
245,cururupu,-1.8283,-44.8683,72.63,94,4,2.13,BR,1624756254
246,veinticinco de mayo,-35.4323,-60.1727,42.06,80,80,5.99,AR,1624756255
247,barvinkove,48.9097,37.0205,67.6,92,100,8.12,UA,1624756255
248,san ramon,37.7799,-121.978,95.58,59,1,11.5,US,1624756255
249,saint-georges,12.0564,-61.7485,80.28,78,75,24.16,GD,1624756256
250,kiunga,-6.1219,141.2906,76.44,97,99,2.77,PG,1624756256
251,san cristobal,7.7669,-72.225,66.16,97,100,2.01,VE,1624755898
252,borogontsy,62.6683,131.1683,82.67,30,60,5.93,RU,1624756256
253,tilichiki,60.4667,166.1,54.72,76,53,9.75,RU,1624755945
254,saint-augustin,51.226,-58.6502,56.21,98,100,13.24,CA,1624756257
255,goderich,43.7501,-81.7165,77.92,95,100,23.13,CA,1624755986
256,coquimbo,-29.9533,-71.3436,51.53,87,20,0.0,CL,1624756257
257,zhigansk,66.7697,123.3711,71.31,56,56,5.79,RU,1624756257
258,tres arroyos,-38.3739,-60.2798,44.33,87,97,12.08,AR,1624755888
259,caracollo,-14.9165,-70.6603,44.38,44,67,4.25,PE,1624756258
260,gboko,7.3179,8.9951,73.35,91,100,4.43,NG,1624756259
261,norman wells,65.282,-126.8329,82.81,29,80,10.89,CA,1624756259
262,mozarlandia,-14.7447,-50.5706,72.84,25,0,6.15,BR,1624756259
263,tura,25.5198,90.2201,76.44,95,50,5.37,IN,1624755852
264,antofagasta,-23.65,-70.4,58.28,81,100,6.33,CL,1624755961
265,aguilas,37.4063,-1.5829,70.05,69,0,4.21,ES,1624756260
266,georgetown,5.4112,100.3354,82.89,81,20,0.0,MY,1624756010
267,makakilo city,21.3469,-158.0858,82.72,57,75,8.05,US,1624756260
268,kununurra,-15.7667,128.7333,71.58,33,100,12.66,AU,1624756261
269,marzuq,14.4,46.4667,73.67,57,83,8.68,YE,1624755936
270,marystown,47.1666,-55.1483,54.48,75,99,6.58,CA,1624756261
271,mercedes,-34.6515,-59.4307,44.04,90,100,8.34,AR,1624756261
272,walvis bay,-22.9575,14.5053,60.28,64,0,4.5,NA,1624756262
273,kawalu,-7.3817,108.2082,76.69,89,42,0.85,ID,1624756262
274,flic en flac,-20.2742,57.3631,71.53,84,9,7.34,MU,1624756262
275,holme,56.1138,10.1725,58.64,87,10,5.59,DK,1624756263
276,valparaiso,-33.0393,-71.6273,50.47,67,0,6.91,CL,1624756263
277,gat,31.61,34.7642,76.41,77,0,1.92,IL,1624756202
278,kamaishi,39.2667,141.8833,73.2,73,81,5.57,JP,1624756264
279,corowa,-36.0333,146.3833,48.52,96,86,3.42,AU,1624756264
280,beloretsk,53.9631,58.3981,67.01,94,4,2.95,RU,1624756264
